QUESTION,ANSWER,SEASON,DOLLARS
the turtle creek this establishment in northern michigan is owned by the grand traverse band of ottawa & chippewa indians,&quot;&gt;a casino&lt;/em&gt;&,36,$200
the greeks gave us saganaki setting the sheeps milk type of this ablaze right at your table,&quot;&gt;cheese&lt;/em&gt;&lt,36,$200
"ready player ___ ",&quot;&gt;one&lt;/em&gt;&lt;br,36,$200
in times of good fortune you "live high on" it,&quot;&gt;the hog&lt;/em&gt;&l,36,$200
2 bits equals one of these u.s. coins,&quot;&gt;a quarter&lt;/em&gt;,36,$200
"ted mosby architect" & "how lily stole christmas" are episodes of this show about a very long courtship story,&quot;&gt;&lt;i&gt;how i met y,36,$200
in the mid-1100s the taira clan became japans first dominant political group who were these warriors,&quot;&gt;samurai&lt;/em&gt;&l,36,$400
literally translated as "burnt cream" this custard dish is topped with sugar that gets caramelized under a broiler,&quot;&gt;crème brûlée&lt;/em&,36,$400
"__ years a slave",&quot;&gt;12&lt;/em&gt;&lt;br ,36,$400
you pledge your this 5-letter word when engaging to marry,&quot;&gt;troth&lt;/em&gt;&lt;,36,$400
avian term for a sum of money saved for retirement or other important purpose,&quot;&gt;a nest egg&lt;/em&gt,36,$400
"why should you go to jail for a crime someone else... noticed?" asked attorney bob loblaw on this bluth-tastic show,&quot;&gt;&lt;i&gt;arrested de,36,$400
the lilly clans annual family reunion near beckley in this "mountain state" has had as many as 75000 attendees,&quot;&gt;west virginia&lt;/em,36,$600
at brennans in new orleans 35000 lbs. of a certain fruit gets flamed annually to make this signature dessert of the restaurant,&quot;&gt;bananas foster&lt;/e,36,$600
by khaled hosseini: "a ___ splendid suns",&quot;&gt;a thousand&lt;/em&gt,36,$600
this interjection is from the danish & used as a toast,&quot;&gt;skoal&lt;/em&gt;&lt;,36,$600
the title of jim cramers tv show or cash on hand for emergencies or impulse buying,&quot;&gt;&lt;i&gt;mad money&l,36,$600
onetime vampire players evan rachel wood tilda swinton danny trejo & wesley snipes all had cameos on "what we do in" these,&quot;&gt;the shadows&lt;/em&g,36,$600
fuimus meaning "we have been" is the motto of this clan found in the name of a famous king of scotland,&quot;&gt;clan bruce&lt;/em&gt,36,$800
we wish you a merry christmas pudding aka this a dish of dried fruit suet & cognac set afire before serving--now bring us some!,&quot;&gt;figgy pudding (*plum,36,$800
"___ years in tibet",&quot;&gt;seven&lt;/em&gt;&lt;,36,$800
its a collection of writings by several authors concerning a similar subject,&quot;&gt;an anthology&lt;/em&,36,$800
